2024-05-25 00:00:01,430 INFO  | < > | Received ECN4 Bento Service address update 10.234.109.25:13102.
2024-05-25 00:00:05,009 INFO  | < > | Cntr update sent to XPS for action: Stow Factor Upd
2024-05-25 00:00:05,009 INFO  | <  4> |  (Skipped 1: Received ECN4 Bento Service address update 10.23)
2024-05-25 00:00:07,720 INFO  | <  2> |  (Skipped 60: Cntr update sent to XPS for action:)
2024-05-25 00:00:07,720 INFO  | < > | Position change for HASU4081814: 4G212C3>4G212E5
2024-05-25 00:00:07,722 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=DLVR/CCLU5218466/4G212C2>TIP Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch=FR2352 sq=4
2024-05-25 00:00:20,880 INFO  | < > | Created new Work Queue: MUS-load-11A, pkey: 0.
2024-05-25 00:00:18,109 INFO  | < > | EXECUTED  YMF CCO 7K user Decker @IP = 10.234.109.28. 
2024-05-25 00:00:18,306 INFO  | < > | EXECUTED  YMF CCO CIB user Decker @IP = 10.234.109.28. 
2024-05-25 00:00:18,210 INFO  | < > | EXECUTED  YMF CCO CIC user Decker @IP = 10.234.109.28. 
2024-05-25 00:00:26,990 INFO  | < > | DB UPDATE for work.instructions origin=WrkAsMan::_broa user=Server object=WI=YARD/MEDU3299080/4H211G3>CIC Order Status=UNKNOWN Order Progress= Order Info= Order ID= CHE-Dsptch= CHE-Dsptch= sq=0
2024-05-25 00:00:26,972 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/MEDU3299080/4H211G3>CIC Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=3 Process Order= Move Stage=Planned/Carry Underway Move Stage= Fetch= Carry Strt= sq=0
2024-05-25 00:00:27,000 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/MEDU3299080/4H211G3>CIC Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=3 Process Order= Move Stage=Carry Underway Move Stage= Fetch= Carry Strt=SA0000 Nom Che=
2024-05-25 00:00:31,399 INFO  | < > | Received ECN4 Bento Service address update 10.234.109.25:13102.
